Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,12463,2022-05-16,-0.001951804,-0.009961804,-0.009961804,1,100
Market-Adjusted Model,12472,2022-05-16,-0.053489818,-0.05172757,-0.05025761,21,100
Market-Adjusted Model,12473,2022-05-16,0.0156608928,0.0229802428,0.0188931006,21,100
Market-Adjusted Model,12476,2022-05-16,-0.018934849,-0.009898896,-0.015702641,21,100
Market-Adjusted Model,12477,2022-05-16,-0.107127409,-0.101733149,-0.103895201,21,100
Market-Adjusted Model,12480,2022-05-16,0.0157755988,0.0162292639,0.0190078066,21,100
Market-Adjusted Model,12487,2022-05-16,-0.04150492,-0.039031756,-0.038272713,21,100
Market-Adjusted Model,12488,2022-05-16,-0.12500004,-0.100305227,-0.121767833,21,100
Market-Adjusted Model,12490,2022-05-16,0.0630360104,0.0640908849,0.0662682182,21,100
Market-Adjusted Model,12495,2022-05-16,-0.178362607,-0.1789543,-0.175130399,21,100
Market-Adjusted Model,12497,2022-05-16,0.0852272605,0.1087601766,0.0884594683,21,100
Market-Adjusted Model,12500,2022-05-16,-0.715708792,-0.812686183,-0.712476585,21,100
Market-Adjusted Model,12502,2022-05-16,-0.101897772,-0.066984739,-0.098665565,21,100
Market-Adjusted Model,12505,2022-05-16,-0.001665186,0.0015276547,0.0015670214,21,100
Market-Adjusted Model,12508,2022-05-16,0.015216586,0.0163189762,0.0184487938,21,100
Market-Adjusted Model,12510,2022-05-16,0.0389189168,0.0441965287,0.0421511245,21,100
Market-Adjusted Model,12513,2022-05-16,-0.068306012,-0.067628758,-0.065073804,21,100
Market-Adjusted Model,12514,2022-05-16,-0.069639707,-0.071355869,-0.066407499,21,100
Market-Adjusted Model,12515,2022-05-16,0.10974957,0.1067631979,0.1129817778,21,100
Market-Adjusted Model,12516,2022-05-16,-0.046735477,-0.048156499,-0.043503269,21,100
Market-Adjusted Model,12523,2022-05-16,-0.003443215,-0.002516953,-0.000211007,21,100
Market-Adjusted Model,12527,2022-05-16,-0.176349992,-0.145810934,-0.173117784,21,100
Market-Adjusted Model,12528,2022-05-16,-0.01415492,-0.011081984,-0.010922713,21,100
Market-Adjusted Model,12530,2022-05-16,-0.021373607,-0.016157098,-0.0181414,21,100
Market-Adjusted Model,12531,2022-05-16,-0.152205498,-0.125223616,-0.14897329,21,100
Market-Adjusted Model,12533,2022-05-16,0.0255567651,0.0280689056,0.0287889728,21,100
Market-Adjusted Model,12534,2022-05-16,-0.04445615,-0.03761311,-0.041223942,21,100
Market-Adjusted Model,12535,2022-05-16,0.0005703004,0.0042947642,0.0038025082,21,100
Market-Adjusted Model,12536,2022-05-16,-0.04628852,-0.04504343,-0.043056313,21,100
Market-Adjusted Model,12537,2022-05-16,0.0030942506,0.0022974167,0.0063264584,21,100
Market-Adjusted Model,12540,2022-05-16,-0.012444479,-0.001125551,-0.009212271,21,100
Market-Adjusted Model,12542,2022-05-16,-0.046624394,-0.04702555,-0.043392186,21,100
Market-Adjusted Model,12543,2022-05-16,-0.039862954,-0.040527274,-0.036630746,21,100
Market-Adjusted Model,12552,2022-05-16,-0.0143379,-0.014059738,-0.011105692,21,100
Market-Adjusted Model,12556,2022-05-16,-0.142857082,-0.11827933,-0.139624875,21,100
Market-Adjusted Model,12558,2022-05-16,0.0848485405,0.0839727829,0.0880807482,21,100
Market-Adjusted Model,12559,2022-05-16,0.0178335204,0.0174625777,0.0210657281,21,100
Market-Adjusted Model,12564,2022-05-16,-0.013157923,-0.013104216,-0.009925715,21,100
Market-Adjusted Model,12565,2022-05-16,0.0092836529,0.0086286736,0.0125158607,21,100
Market-Adjusted Model,12566,2022-05-16,-0.114488355,-0.115129523,-0.111256147,21,100
Market-Adjusted Model,12569,2022-05-16,-0.1151832,-0.093707057,-0.111950993,21,100
Market-Adjusted Model,12570,2022-05-16,0.05126742,0.0540458042,0.0544996277,21,100
Market-Adjusted Model,12573,2022-05-16,-0.090508581,0.0062116438,-0.087276373,21,100
Market-Adjusted Model,12577,2022-05-16,-0.28679248,-0.185465175,-0.283560272,21,100
Market-Adjusted Model,12578,2022-05-16,0.0193765702,0.0207726862,0.022608778,21,100
Market-Adjusted Model,12579,2022-05-16,0.1320754114,0.1734643741,0.1353076192,21,100
Market-Adjusted Model,12582,2022-05-16,0.5322980974,0.5004925825,0.5355303052,21,100
Market-Adjusted Model,12583,2022-05-16,-0.151803667,-0.155672881,-0.148571459,21,100
Market-Adjusted Model,12591,2022-05-16,0.1668153417,0.16297074,0.1700475495,21,100
Market-Adjusted Model,12592,2022-05-16,-0.113730892,-0.104992133,-0.110498684,21,100
Market-Adjusted Model,12593,2022-05-16,0.0080403746,0.0114774116,0.0112725824,21,100
Market-Adjusted Model,12615,2022-05-16,-0.237644595,-0.185684274,-0.234412387,21,100
Market-Adjusted Model,12621,2022-05-16,-0.027588245,-0.020849342,-0.024356037,21,100
Market-Adjusted Model,12622,2022-05-16,-0.019342855,-0.014474161,-0.016110647,21,100
Market-Adjusted Model,12623,2022-05-16,-0.005197898,-0.003066797,-0.00196569,21,100
